"","share_type","EF46","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown_esco","Male",189,20215.913,0.0044999537037037,0.00418444607842363,0.0128923278049568,0.0126354138777089,0,0,0,0,0,0
"2","share_brown_esco","Female",223,25174.772,0.01776236913205,0.0163434932287328,0.0216708629704703,0.0207635124419293,0.0238095238095238,0,0.0277777777777778,0,0,0.0277777777777778
"3","share_brown_esco_ess","Male",189,20215.913,0.00396825396825397,0.00363218156356371,0.0115174316387088,0.0112174360713557,0,0,0,0,0,0
"4","share_brown_esco_ess","Female",223,25174.772,0.0162713566968886,0.0156834928993647,0.0203913452193309,0.0201760236600063,0,0,0.0341880341880342,0,0,0.0341880341880342
"5","share_brown_vona2018","Male",189,20215.913,0.0411111111111111,0.036190734719486,0.120744045729488,0.113673239595045,0,0,0,0,0,0
"6","share_brown_vona2018","Female",223,25174.772,0.14362611383888,0.139174487411407,0.176667362888237,0.176698966061677,0,0,0.4,0,0,0.4
"7","share_green_esco","Male",189,20215.913,0.00418150645232626,0.0037207911393411,0.0120454777930727,0.0113928566294554,0,0,0,0,0,0
"8","share_green_esco","Female",223,25174.772,0.0165332457833523,0.0158859581558103,0.0177159637958651,0.0177593394483103,0,0,0.0394192311899293,0,0,0.0394192311899293
"9","share_green_esco_ess","Male",189,20215.913,0.00865286855482934,0.00754381028446153,0.0260893803242124,0.0245391960305802,0,0,0,0,0,0
"10","share_green_esco_ess","Female",223,25174.772,0.0295796700608271,0.0286520109032484,0.0397385434495476,0.0395992564671481,0,0,0.0865286855482934,0,0,0.0865286855482934
"11","share_green_gtp","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"12","share_green_gtp","Female",223,25174.772,0,0,0,0,0,0,0,0,0,0
"13","share_green_jrc","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"14","share_green_jrc","Female",223,25174.772,0.00614657210401891,0.00540548299532952,0.0223971500736046,0.0210999796766969,0,0,0,0,0,0
"15","share_green_vona2018","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"16","share_green_vona2018","Female",223,25174.772,0,0,0,0,0,0,0,0,0,0
