"","share_type","EF436","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown_esco",3,14,1522.67,0,0,0,0,0,0,0,0,0,0
"2","share_brown_esco",5,16,1863.117,0.00607986111111111,0.00466175449827121,0.0182764321102072,0.015958766190652,0,0,0,0,0,0
"3","share_brown_esco",6,9,1057.982,0,0,0,0,0,0,0,0,0,0
"4","share_brown_esco",7,24,2484.437,0.0108913414902998,0.0102193195700925,0.0268315951941666,0.0265091818022278,0,0,0.00595238095238095,0,0,0.00595238095238095
"5","share_brown_esco",8,7,683.6,0.00396825396825397,0.0041812544698004,0.0104990131391452,0.0107397480378141,0,0,0,0,0,0.0138888888888889
"6","share_brown_esco",10,18,1952.277,0.00154320987654321,0.00153299625684948,0.00654728501098655,0.00653438249414171,0,0,0,0,0,0
"7","share_brown_esco",11,30,3177.668,0.00666280864197531,0.00616458766710775,0.012319381306243,0.0119023647285953,0,0,0,0,0,0
"8","share_brown_esco",12,11,1142.014,0.00505050505050505,0.00520333181360104,0.0112366643743874,0.0113760495244554,0,0,0,0,0,0.0138888888888889
"9","share_brown_esco",13,6,694.449,0.00396825396825397,0.00348830854526737,0.00972019739199674,0.00927068205846552,0,0,0,0,0,0
"10","share_brown_esco",14,6,591.065,0.00462962962962963,0.00297960273216802,0.0113402302906629,0.00946430728306852,0,0,0,0,0,0
"11","share_brown_esco",15,7,773.098,0.00992857142857143,0.00751457771201064,0.0262685308741413,0.0233989978690338,0,0,0,0,0,0
"12","share_brown_esco",16,4,412.623,0,0,0,0,0,0,0,0,0,0
"13","share_brown_esco",17,2,186.809,0,0,0,0,0,0,0,0,0,0
"14","share_brown_esco",18,2,201.648,0,0,0,0,0,0,0,0,0,0
"15","share_brown_esco",19,1,83.843,0,0,NA,NA,0,0,0,0,0,0
"16","share_brown_esco",20,2,298.943,0,0,0,0,0,0,0,0,0,0
"17","share_brown_esco",21,3,312.206,0.0110725308641975,0.0122429266639239,0.0191781860251647,0.0196536511303268,0,0,0.0166087962962963,0.0332175925925926,0.0166087962962963,0.0332175925925926
"18","share_brown_esco_ess",3,14,1522.67,0,0,0,0,0,0,0,0,0,0
"19","share_brown_esco_ess",5,16,1863.117,0.00213675213675214,0.00188818766073979,0.00854700854700855,0.00807428520177276,0,0,0,0,0,0
"20","share_brown_esco_ess",6,9,1057.982,0,0,0,0,0,0,0,0,0,0
