"","share_type","EF442","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","< 150",1,115.565,0,0,NA,NA,0,0,0,0,0,0
"2","share_brown","150 to < 300",1,115.565,0,0,NA,NA,0,0,0,0,0,0
"3","share_brown","300 to < 500",24,2710.633,0.00462962962962963,0.00455133542607944,0.0226804605813257,0.0225131874752481,0,0,0,0,0,0
"4","share_brown","500 to < 700",16,1650.43,0.0138888888888889,0.0117907993001151,0.0379516695035541,0.0354255274256999,0,0,0,0,0,0
"5","share_brown","700 to < 900",22,2468.537,0,0,0,0,0,0,0,0,0,0
"6","share_brown","900 to < 1,100",17,1870.573,0.0196078431372549,0.0192725259408035,0.0436614026662987,0.043439208801115,0,0,0,0,0,0
"7","share_brown","1,100 to < 1,300",28,3073.679,0.00793650793650794,0.00713607374094692,0.0291405849062757,0.0277975249288725,0,0,0,0,0,0
"8","share_brown","1,300 to < 1,500",25,2871.516,0.0133333333333333,0.013168885935745,0.0368513865595044,0.0367029004257053,0,0,0,0,0,0
"9","share_brown","1,500 to < 1,700",36,3804.637,0.0246913580246914,0.0264088853213124,0.0468485579284204,0.0480079816805105,0,0,0,0,0,0.0277777777777777
"10","share_brown","1,700 to < 2,000",45,4981.553,0.0197530864197531,0.018629531794603,0.0429606408289201,0.0420164875231313,0,0,0,0,0,0
"11","share_brown","2,000 to < 2,300",47,4958.416,0.0236406619385343,0.0264776089783511,0.0459653432701889,0.0478900744375701,0,0,0,0,0,0.0555555555555555
"12","share_brown","2,300 to < 2,600",28,2919.647,0.0119047619047619,0.0106049350029872,0.0349967104638173,0.0332610766924828,0,0,0,0,0,0
"13","share_brown","2,600 to < 2,900",20,2415.531,0.00555555555555555,0.00458583318625272,0.0248451997499977,0.022722947978659,0,0,0,0,0,0
"14","share_brown","2,900 to < 3,200",16,1550.298,0.00694444444444444,0.00454400093114714,0.0277777777777778,0.0227661511450162,0,0,0,0,0,0
"15","share_brown","3,200 to < 3,600",17,1975.566,0.0196078431372549,0.0200890388993444,0.0436614026662987,0.0441578895750151,0,0,0,0,0,0
"16","share_brown","3,600 to < 4,000",6,555.94,0.0185185185185185,0.0197257497811514,0.0453609211626514,0.0466078379809244,0,0,0,0,0,0.0833333333333331
"17","share_brown","4,000 to < 4,500",7,788.698,0.0317460317460317,0.0371351828512871,0.054216670719363,0.0567509954082536,0,0,0.0555555555555556,0,0,0.111111111111111
"18","share_brown","4,500 to < 5,000",2,231.836,0,0,0,0,0,0,0,0,0,0
"19","share_brown","5,000 to < 5,500",3,314.03,0.037037037037037,0.0396851680837287,0.0641500299099584,0.0655399746338274,0,0,0.0555555555555556,0.111111111111111,0.0555555555555555,0.111111111111111
"20","share_brown","5,500 to < 6,000",2,173.599,0,0,0,0,0,0,0,0,0,0
"21","share_brown","6,000 to < 7,500",6,759.366,0,0,0,0,0,0,0,0,0,0
"22","share_brown","7,500 to < 10,000",1,111.128,0,0,NA,NA,0,0,0,0,0,0
"23","share_brown","10,000 to < 18,000",1,119.698,0,0,NA,NA,0,0,0,0,0,0
"24","share_brown",NA,41,4854.244,0.010840108401084,0.00951726182513922,0.0333784698920372,0.0315474633710907,0,0,0,0,0,0
"25","share_brown_cat_abs","< 150",1,115.565,0,0,NA,NA,0,0,0,0,0,0
"26","share_brown_cat_abs","150 to < 300",1,115.565,0,0,NA,NA,0,0,0,0,0,0
"27","share_brown_cat_abs","300 to < 500",24,2710.633,0,0,0,0,0,0,0,0,0,0
"28","share_brown_cat_abs","500 to < 700",16,1650.43,0,0,0,0,0,0,0,0,0,0
"29","share_brown_cat_abs","700 to < 900",22,2468.537,0,0,0,0,0,0,0,0,0,0
"30","share_brown_cat_abs","900 to < 1,100",17,1870.573,0,0,0,0,0,0,0,0,0,0
"31","share_brown_cat_abs","1,100 to < 1,300",28,3073.679,0,0,0,0,0,0,0,0,0,0
"32","share_brown_cat_abs","1,300 to < 1,500",25,2871.516,0,0,0,0,0,0,0,0,0,0
"33","share_brown_cat_abs","1,500 to < 1,700",36,3804.637,0,0,0,0,0,0,0,0,0,0
"34","share_brown_cat_abs","1,700 to < 2,000",45,4981.553,0,0,0,0,0,0,0,0,0,0
"35","share_brown_cat_abs","2,000 to < 2,300",47,4958.416,0,0,0,0,0,0,0,0,0,0
"36","share_brown_cat_abs","2,300 to < 2,600",28,2919.647,0,0,0,0,0,0,0,0,0,0
